Gene_ID,DESeq2_log2FC,edgeR_log2FC,Average_log2FC,Gene name,Gene description,Gene type
ENSMUSG00000022114,-0.390959545,-0.397505988,-0.394232766,Spry2,sprouty RTK signaling antagonist 2 [Source:MGI Symbol;Acc:MGI:1345138],protein_coding
ENSMUSG00000022150,-0.607766153,-0.61417529,-0.610970721,Dab2,"disabled 2, mitogen-responsive phosphoprotein [Source:MGI Symbol;Acc:MGI:109175]",protein_coding
ENSMUSG00000022211,0.387069856,0.376459561,0.381764709,Carmil3,capping protein regulator and myosin 1 linker 3 [Source:MGI Symbol;Acc:MGI:2448573],protein_coding
ENSMUSG00000022237,-0.432881854,-0.437403586,-0.43514272,Ankrd33b,ankyrin repeat domain 33B [Source:MGI Symbol;Acc:MGI:1917904],protein_coding
ENSMUSG00000022311,0.412372793,0.407222997,0.409797895,Csmd3,CUB and Sushi multiple domains 3 [Source:MGI Symbol;Acc:MGI:2386403],protein_coding
ENSMUSG00000022324,0.647565454,0.639762432,0.643663943,Matn2,matrilin 2 [Source:MGI Symbol;Acc:MGI:109613],protein_coding
ENSMUSG00000022342,-0.618308365,-0.622573989,-0.620441177,Kcnv1,"potassium channel, subfamily V, member 1 [Source:MGI Symbol;Acc:MGI:1914748]",protein_coding
ENSMUSG00000022364,0.445485639,0.440285807,0.442885723,Tbc1d31,"TBC1 domain family, member 31 [Source:MGI Symbol;Acc:MGI:2684931]",protein_coding
ENSMUSG00000022377,-0.329859575,-0.333557453,-0.331708514,Asap1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain1 [Source:MGI Symbol;Acc:MGI:1342335]",protein_coding
ENSMUSG00000022425,-1.590761921,-1.599616338,-1.595189129,Enpp2,ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:MGI Symbol;Acc:MGI:1321390],protein_coding
ENSMUSG00000022454,-0.239093906,-0.246229622,-0.242661764,Nell2,NEL-like 2 [Source:MGI Symbol;Acc:MGI:1858510],protein_coding
ENSMUSG00000022464,0.89662498,0.887858301,0.892241641,Slc38a4,"solute carrier family 38, member 4 [Source:MGI Symbol;Acc:MGI:1916604]",protein_coding
ENSMUSG00000022475,0.466597258,0.458356473,0.462476865,Hdac7,histone deacetylase 7 [Source:MGI Symbol;Acc:MGI:1891835],protein_coding
ENSMUSG00000022550,0.503049196,0.49139609,0.497222643,Adck5,aarF domain containing kinase 5 [Source:MGI Symbol;Acc:MGI:2679274],protein_coding
ENSMUSG00000022568,0.304902264,0.295915036,0.30040865,Scrib,scribbled planar cell polarity [Source:MGI Symbol;Acc:MGI:2145950],protein_coding
ENSMUSG00000022580,0.511462941,0.500202641,0.505832791,Rhpn1,"rhophilin, Rho GTPase binding protein 1 [Source:MGI Symbol;Acc:MGI:1098783]",protein_coding
ENSMUSG00000022594,-0.559220344,-0.566941609,-0.563080977,Lynx1,Ly6/neurotoxin 1 [Source:MGI Symbol;Acc:MGI:1345180],protein_coding
ENSMUSG00000022602,-1.458224648,-1.459937837,-1.459081243,Arc,activity regulated cytoskeletal-associated protein [Source:MGI Symbol;Acc:MGI:88067],protein_coding
ENSMUSG00000022707,-0.461509702,-0.4671795,-0.464344601,Gbe1,"glucan (1,4-alpha-), branching enzyme 1 [Source:MGI Symbol;Acc:MGI:1921435]",protein_coding
ENSMUSG00000022773,0.377722285,0.369287111,0.373504698,Ypel1,yippee like 1 [Source:MGI Symbol;Acc:MGI:1913303],protein_coding
ENSMUSG00000022797,-0.558788089,-0.564290333,-0.561539211,Tfrc,transferrin receptor [Source:MGI Symbol;Acc:MGI:98822],protein_coding
ENSMUSG00000022799,-0.308927267,-0.315664956,-0.312296112,Arhgap31,Rho GTPase activating protein 31 [Source:MGI Symbol;Acc:MGI:1333857],protein_coding
ENSMUSG00000022836,-0.583369782,-0.586854589,-0.585112186,Mylk,"myosin, light polypeptide kinase [Source:MGI Symbol;Acc:MGI:894806]",protein_coding
ENSMUSG00000022847,0.430695284,0.422891608,0.426793446,Thpo,thrombopoietin [Source:MGI Symbol;Acc:MGI:101875],protein_coding
ENSMUSG00000022892,-0.273963626,-0.280473889,-0.277218757,App,amyloid beta (A4) precursor protein [Source:MGI Symbol;Acc:MGI:88059],protein_coding
ENSMUSG00000022996,-0.774945259,-0.782556142,-0.7787507,Wnt10b,"wingless-type MMTV integration site family, member 10B [Source:MGI Symbol;Acc:MGI:108061]",protein_coding
ENSMUSG00000023034,-0.985654147,-0.98826818,-0.986961163,Nr4a1,"nuclear receptor subfamily 4, group A, member 1 [Source:MGI Symbol;Acc:MGI:1352454]",protein_coding
ENSMUSG00000023044,0.332009393,0.322784682,0.327397038,Csad,cysteine sulfinic acid decarboxylase [Source:MGI Symbol;Acc:MGI:2180098],protein_coding
ENSMUSG00000023067,-0.63065887,-0.640590295,-0.635624582,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556],protein_coding
ENSMUSG00000023072,0.376706789,0.369840222,0.373273505,Cep89,centrosomal protein 89 [Source:MGI Symbol;Acc:MGI:1919390],protein_coding
ENSMUSG00000023079,0.405844598,0.397928879,0.401886739,Gtf2ird1,general transcription factor II I repeat domain-containing 1 [Source:MGI Symbol;Acc:MGI:1861942],protein_coding
ENSMUSG00000023083,0.981994756,0.978713646,0.980354201,H2-M10.2,"histocompatibility 2, M region locus 10.2 [Source:MGI Symbol;Acc:MGI:1276525]",protein_coding
ENSMUSG00000023087,-0.371926695,-0.379251511,-0.375589103,Noct,nocturnin [Source:MGI Symbol;Acc:MGI:109382],protein_coding
ENSMUSG00000023191,0.460345235,0.449352296,0.454848765,P3h3,prolyl 3-hydroxylase 3 [Source:MGI Symbol;Acc:MGI:1315208],protein_coding
ENSMUSG00000023192,-0.410836765,-0.41647724,-0.413657003,Grm2,"glutamate receptor, metabotropic 2 [Source:MGI Symbol;Acc:MGI:1351339]",protein_coding
ENSMUSG00000023473,0.349679215,0.342637712,0.346158463,Celsr3,"cadherin, EGF LAG seven-pass G-type receptor 3 [Source:MGI Symbol;Acc:MGI:1858236]",protein_coding
ENSMUSG00000023805,-0.338973539,-0.344062123,-0.341517831,Synj2,synaptojanin 2 [Source:MGI Symbol;Acc:MGI:1201671],protein_coding
ENSMUSG00000023826,0.514685667,0.508882237,0.511783952,Prkn,parkin RBR E3 ubiquitin protein ligase [Source:MGI Symbol;Acc:MGI:1355296],protein_coding
ENSMUSG00000023828,0.566976908,0.556839401,0.561908155,Slc22a3,"solute carrier family 22 (organic cation transporter), member 3 [Source:MGI Symbol;Acc:MGI:1333817]",protein_coding
ENSMUSG00000023845,-0.359131301,-0.361520627,-0.360325964,Lnpep,leucyl/cystinyl aminopeptidase [Source:MGI Symbol;Acc:MGI:2387123],protein_coding
ENSMUSG00000023885,-0.594826026,-0.599867931,-0.597346979,Thbs2,thrombospondin 2 [Source:MGI Symbol;Acc:MGI:98738],protein_coding
ENSMUSG00000023886,0.431687503,0.423704113,0.427695808,Smoc2,SPARC related modular calcium binding 2 [Source:MGI Symbol;Acc:MGI:1929881],protein_coding
ENSMUSG00000023915,-0.260538237,-0.267071351,-0.263804794,Tnfrsf21,"tumor necrosis factor receptor superfamily, member 21 [Source:MGI Symbol;Acc:MGI:2151075]",protein_coding
ENSMUSG00000023918,0.649230485,0.641703679,0.645467082,Adgrf4,adhesion G protein-coupled receptor F4 [Source:MGI Symbol;Acc:MGI:1925499],protein_coding
ENSMUSG00000023961,-0.285112482,-0.290994435,-0.288053459,Enpp4,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:MGI Symbol;Acc:MGI:2682634],protein_coding
ENSMUSG00000023966,0.500525541,0.49151869,0.496022116,Rsph9,radial spoke head 9 homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1922814],protein_coding
ENSMUSG00000024036,0.44136889,0.43398652,0.437677705,Slc37a1,"solute carrier family 37 (glycerol-3-phosphate transporter), member 1 [Source:MGI Symbol;Acc:MGI:2446181]",protein_coding
ENSMUSG00000024042,-0.825372287,-0.829461353,-0.82741682,Sik1,salt inducible kinase 1 [Source:MGI Symbol;Acc:MGI:104754],protein_coding
ENSMUSG00000024066,-0.890402282,-0.893474502,-0.891938392,Xdh,xanthine dehydrogenase [Source:MGI Symbol;Acc:MGI:98973],protein_coding
ENSMUSG00000024083,-0.317525244,-0.321286808,-0.319406026,Pja2,praja ring finger ubiquitin ligase 2 [Source:MGI Symbol;Acc:MGI:2159342],protein_coding
ENSMUSG00000024140,-0.43708271,-0.442175742,-0.439629226,Epas1,endothelial PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109169],protein_coding
ENSMUSG00000024170,0.405805197,0.395871019,0.400838108,Telo2,telomere maintenance 2 [Source:MGI Symbol;Acc:MGI:1918968],protein_coding
ENSMUSG00000024397,0.579777687,0.569831693,0.57480469,Aif1,allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098],protein_coding
ENSMUSG00000024411,-0.382840767,-0.388341381,-0.385591074,Aqp4,aquaporin 4 [Source:MGI Symbol;Acc:MGI:107387],protein_coding
ENSMUSG00000024427,-0.729378643,-0.736742312,-0.733060478,Spry4,sprouty RTK signaling antagonist 4 [Source:MGI Symbol;Acc:MGI:1345144],protein_coding
ENSMUSG00000024430,-0.367019939,-0.372705781,-0.36986286,Cabyr,calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) [Source:MGI Symbol;Acc:MGI:1918382],protein_coding
ENSMUSG00000024459,0.699963671,0.691223785,0.695593728,H2-M5,"histocompatibility 2, M region locus 5 [Source:MGI Symbol;Acc:MGI:95917]",protein_coding
ENSMUSG00000024534,0.491455427,0.482993122,0.487224274,Sncaip,"synuclein, alpha interacting protein (synphilin) [Source:MGI Symbol;Acc:MGI:1915097]",protein_coding
ENSMUSG00000024558,-0.357572596,-0.363955286,-0.360763941,Mapk4,mitogen-activated protein kinase 4 [Source:MGI Symbol;Acc:MGI:2444559],protein_coding
ENSMUSG00000024597,-0.474540652,-0.477493888,-0.47601727,Slc12a2,"solute carrier family 12, member 2 [Source:MGI Symbol;Acc:MGI:101924]",protein_coding
ENSMUSG00000024598,0.570334129,0.565798923,0.568066526,Fbn2,fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490],protein_coding
ENSMUSG00000024677,-1.137038455,-1.139555192,-1.138296824,Ms4a6b,"membrane-spanning 4-domains, subfamily A, member 6B [Source:MGI Symbol;Acc:MGI:1917024]",protein_coding
ENSMUSG00000024695,-0.292307629,-0.296857693,-0.294582661,Zfp91,zinc finger protein 91 [Source:MGI Symbol;Acc:MGI:104854],protein_coding
ENSMUSG00000024830,0.336961362,0.326497036,0.331729199,Rps6kb2,"ribosomal protein S6 kinase, polypeptide 2 [Source:MGI Symbol;Acc:MGI:1927343]",protein_coding
ENSMUSG00000025036,0.56023536,0.551249559,0.555742459,Sfxn2,sideroflexin 2 [Source:MGI Symbol;Acc:MGI:2137678],protein_coding
ENSMUSG00000025092,-0.293311576,-0.299709797,-0.296510686,Hspa12a,heat shock protein 12A [Source:MGI Symbol;Acc:MGI:1920692],protein_coding
ENSMUSG00000025128,0.393391125,0.382432703,0.387911914,Bhlhe22,"basic helix-loop-helix family, member e22 [Source:MGI Symbol;Acc:MGI:1930001]",protein_coding
ENSMUSG00000025145,0.431985494,0.421640445,0.426812969,Lrrc45,leucine rich repeat containing 45 [Source:MGI Symbol;Acc:MGI:2387183],protein_coding
ENSMUSG00000025231,0.29662921,0.288714148,0.292671679,Sufu,SUFU negative regulator of hedgehog signaling [Source:MGI Symbol;Acc:MGI:1345643],protein_coding
ENSMUSG00000025357,0.383794356,0.377101874,0.380448115,Dgka,"diacylglycerol kinase, alpha [Source:MGI Symbol;Acc:MGI:102952]",protein_coding
ENSMUSG00000025395,0.486534274,0.477905168,0.482219721,Prim1,"DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]",protein_coding
ENSMUSG00000025400,0.475129322,0.465347893,0.470238607,Tac2,tachykinin 2 [Source:MGI Symbol;Acc:MGI:98476],protein_coding
ENSMUSG00000025417,-0.308581447,-0.312915191,-0.310748319,Pip4k2c,"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma [Source:MGI Symbol;Acc:MGI:2152214]",protein_coding
ENSMUSG00000025420,0.440141151,0.43018881,0.43516498,Katnal2,katanin p60 subunit A-like 2 [Source:MGI Symbol;Acc:MGI:1924234],protein_coding
ENSMUSG00000025473,0.65743559,0.6478725,0.652654045,Adam8,a disintegrin and metallopeptidase domain 8 [Source:MGI Symbol;Acc:MGI:107825],protein_coding
ENSMUSG00000025478,0.316951312,0.307946655,0.312448984,Dpysl4,dihydropyrimidinase-like 4 [Source:MGI Symbol;Acc:MGI:1349764],protein_coding
ENSMUSG00000025491,-0.919313105,-0.924769226,-0.922041166,Ifitm1,interferon induced transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1915963],protein_coding
ENSMUSG00000025551,0.519783724,0.515192981,0.517488352,Fgf14,fibroblast growth factor 14 [Source:MGI Symbol;Acc:MGI:109189],protein_coding
ENSMUSG00000025780,-0.343678047,-0.347247265,-0.345462656,Itih5,inter-alpha (globulin) inhibitor H5 [Source:MGI Symbol;Acc:MGI:1925751],protein_coding
ENSMUSG00000025789,0.707739746,0.703115351,0.705427549,St8sia2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:106020]",protein_coding
ENSMUSG00000025795,-0.516122544,-0.521000364,-0.518561454,Rassf3,Ras association (RalGDS/AF-6) domain family member 3 [Source:MGI Symbol;Acc:MGI:2179722],protein_coding
ENSMUSG00000025855,-0.28244192,-0.290832026,-0.286636973,Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta [Source:MGI Symbol;Acc:MGI:97759]",protein_coding
ENSMUSG00000025867,-0.331320369,-0.339901448,-0.335610909,Cplx2,complexin 2 [Source:MGI Symbol;Acc:MGI:104726],protein_coding
ENSMUSG00000025878,0.331453331,0.324752937,0.328103134,Uimc1,ubiquitin interaction motif containing 1 [Source:MGI Symbol;Acc:MGI:103185],protein_coding
ENSMUSG00000025916,0.92800413,0.913860387,0.920932259,Ppp1r42,"protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]",protein_coding
ENSMUSG00000025920,-0.274029223,-0.279473403,-0.276751313,Stau2,staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508],protein_coding
ENSMUSG00000025964,-0.337669089,-0.340159604,-0.338914347,Adam23,a disintegrin and metallopeptidase domain 23 [Source:MGI Symbol;Acc:MGI:1345162],protein_coding
ENSMUSG00000025968,-0.327420164,-0.332286065,-0.329853114,Ndufs1,NADH:ubiquinone oxidoreductase core subunit S1 [Source:MGI Symbol;Acc:MGI:2443241],protein_coding
ENSMUSG00000025981,-0.535961716,-0.541930271,-0.538945993,Coq10b,coenzyme Q10B [Source:MGI Symbol;Acc:MGI:1915126],protein_coding
ENSMUSG00000026051,-1.947282999,-1.956889705,-1.952086352,Ecrg4,ECRG4 augurin precursor [Source:MGI Symbol;Acc:MGI:1926146],protein_coding
ENSMUSG00000026058,0.563120332,0.557376466,0.560248399,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2 [Source:MGI Symbol;Acc:MGI:2159649]",protein_coding
ENSMUSG00000026193,-0.513907915,-0.519838145,-0.51687303,Fn1,fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566],protein_coding
ENSMUSG00000026229,-0.289303101,-0.295111054,-0.292207077,Psmd1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]",protein_coding
ENSMUSG00000026311,-0.327759919,-0.33493801,-0.331348964,Asb1,ankyrin repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1929735],protein_coding
ENSMUSG00000026315,-0.665274068,-0.669884636,-0.667579352,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8 [Source:MGI Symbol;Acc:MGI:894657]",protein_coding
ENSMUSG00000026335,-0.315635712,-0.32211406,-0.318874886,Pam,peptidylglycine alpha-amidating monooxygenase [Source:MGI Symbol;Acc:MGI:97475],protein_coding
ENSMUSG00000026344,0.430284301,0.419899173,0.425091737,Lypd1,Ly6/Plaur domain containing 1 [Source:MGI Symbol;Acc:MGI:1919835],protein_coding
ENSMUSG00000026380,-0.612229752,-0.619786324,-0.616008038,Tfcp2l1,transcription factor CP2-like 1 [Source:MGI Symbol;Acc:MGI:2444691],protein_coding
ENSMUSG00000026393,-0.299583796,-0.304191803,-0.3018878,Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7 [Source:MGI Symbol;Acc:MGI:1890645],protein_coding
ENSMUSG00000026494,0.47546206,0.468277676,0.471869868,Kif26b,kinesin family member 26B [Source:MGI Symbol;Acc:MGI:2447076],protein_coding
ENSMUSG00000026525,-0.906978437,-0.912347108,-0.909662773,Opn3,opsin 3 [Source:MGI Symbol;Acc:MGI:1338022],protein_coding
ENSMUSG00000026576,-0.284950361,-0.290781279,-0.28786582,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide [Source:MGI Symbol;Acc:MGI:88108]",protein_coding
ENSMUSG00000026579,-3.272089933,-3.278591166,-3.27534055,F5,coagulation factor V [Source:MGI Symbol;Acc:MGI:88382],protein_coding
ENSMUSG00000026623,-0.277849498,-0.281857063,-0.279853281,Lpgat1,lysophosphatidylglycerol acyltransferase 1 [Source:MGI Symbol;Acc:MGI:2446186],protein_coding
ENSMUSG00000026632,0.354738745,0.347741008,0.351239876,Tatdn3,TatD DNase domain containing 3 [Source:MGI Symbol;Acc:MGI:1916222],protein_coding
ENSMUSG00000026657,0.518333968,0.511553082,0.514943525,Frmd4a,FERM domain containing 4A [Source:MGI Symbol;Acc:MGI:1919850],protein_coding
ENSMUSG00000026663,-0.340364459,-0.344319359,-0.342341909,Atf6,activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157],protein_coding
ENSMUSG00000026674,-0.569077363,-0.579941583,-0.574509473,Ddr2,"discoidin domain receptor family, member 2 [Source:MGI Symbol;Acc:MGI:1345277]",protein_coding
ENSMUSG00000026768,0.746849286,0.741453727,0.744151506,Itga8,integrin alpha 8 [Source:MGI Symbol;Acc:MGI:109442],protein_coding
ENSMUSG00000026773,-0.499427222,-0.504329277,-0.50187825,Pfkfb3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:MGI Symbol;Acc:MGI:2181202]",protein_coding
ENSMUSG00000026814,-0.502189585,-0.51172465,-0.506957118,Eng,endoglin [Source:MGI Symbol;Acc:MGI:95392],protein_coding
ENSMUSG00000026826,-0.288511719,-0.294313881,-0.2914128,Nr4a2,"nuclear receptor subfamily 4, group A, member 2 [Source:MGI Symbol;Acc:MGI:1352456]",protein_coding
ENSMUSG00000026834,-0.553882644,-0.557094136,-0.55548839,Acvr1c,"activin A receptor, type IC [Source:MGI Symbol;Acc:MGI:2661081]",protein_coding
ENSMUSG00000026837,0.807491252,0.801207174,0.804349213,Col5a1,"collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]",protein_coding
ENSMUSG00000026841,-0.547240221,-0.557614948,-0.552427584,Fibcd1,fibrinogen C domain containing 1 [Source:MGI Symbol;Acc:MGI:2138953],protein_coding
ENSMUSG00000026932,-0.275516828,-0.28200054,-0.278758684,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing [Source:MGI Symbol;Acc:MGI:1915241]",protein_coding
ENSMUSG00000026941,0.680053684,0.670210524,0.675132104,Mamdc4,MAM domain containing 4 [Source:MGI Symbol;Acc:MGI:2685841],protein_coding
ENSMUSG00000027002,-0.299382715,-0.303758759,-0.301570737,Nckap1,NCK-associated protein 1 [Source:MGI Symbol;Acc:MGI:1355333],protein_coding
ENSMUSG00000027004,-0.741941002,-0.750773732,-0.746357367,Frzb,frizzled-related protein [Source:MGI Symbol;Acc:MGI:892032],protein_coding
ENSMUSG00000027087,-0.40766768,-0.40911946,-0.40839357,Itgav,integrin alpha V [Source:MGI Symbol;Acc:MGI:96608],protein_coding
ENSMUSG00000027238,0.382418423,0.377671011,0.380044717,Frmd5,FERM domain containing 5 [Source:MGI Symbol;Acc:MGI:2442557],protein_coding
ENSMUSG00000027254,-0.301532074,-0.308905712,-0.305218893,Map1a,microtubule-associated protein 1 A [Source:MGI Symbol;Acc:MGI:1306776],protein_coding
ENSMUSG00000027270,-0.825595895,-0.831338988,-0.828467442,Lamp5,"lysosomal-associated membrane protein family, member 5 [Source:MGI Symbol;Acc:MGI:1923411]",protein_coding
ENSMUSG00000027273,-0.315999389,-0.321655592,-0.31882749,Snap25,synaptosomal-associated protein 25 [Source:MGI Symbol;Acc:MGI:98331],protein_coding
ENSMUSG00000027288,-0.282776655,-0.287956789,-0.285366722,Zfp106,zinc finger protein 106 [Source:MGI Symbol;Acc:MGI:1270153],protein_coding
ENSMUSG00000027312,-0.311310285,-0.315214564,-0.313262424,Atrn,attractin [Source:MGI Symbol;Acc:MGI:1341628],protein_coding
ENSMUSG00000027340,-0.328500757,-0.332628872,-0.330564815,Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2 [Source:MGI Symbol;Acc:MGI:1859682]",protein_coding
ENSMUSG00000027347,-0.443800882,-0.445564713,-0.444682798,Rasgrp1,RAS guanyl releasing protein 1 [Source:MGI Symbol;Acc:MGI:1314635],protein_coding
ENSMUSG00000027351,-0.282888749,-0.287149418,-0.285019084,Spred1,"sprouty protein with EVH-1 domain 1, related sequence [Source:MGI Symbol;Acc:MGI:2150016]",protein_coding
ENSMUSG00000027375,-0.370676822,-0.378011121,-0.374343971,Mal,"myelin and lymphocyte protein, T cell differentiation protein [Source:MGI Symbol;Acc:MGI:892970]",protein_coding
ENSMUSG00000027438,-0.293399321,-0.299695412,-0.296547366,Napb,N-ethylmaleimide sensitive fusion protein attachment protein beta [Source:MGI Symbol;Acc:MGI:104562],protein_coding
ENSMUSG00000027568,0.868599078,0.85993528,0.864267179,Ntsr1,neurotensin receptor 1 [Source:MGI Symbol;Acc:MGI:97386],protein_coding
ENSMUSG00000027634,-0.257006091,-0.264706955,-0.260856523,Ndrg3,N-myc downstream regulated gene 3 [Source:MGI Symbol;Acc:MGI:1352499],protein_coding
ENSMUSG00000027654,-0.817094215,-0.825460305,-0.82127726,Fam83d,"family with sequence similarity 83, member D [Source:MGI Symbol;Acc:MGI:1919128]",protein_coding
ENSMUSG00000027663,-0.28021785,-0.286299788,-0.283258819,Zmat3,zinc finger matrin type 3 [Source:MGI Symbol;Acc:MGI:1195270],protein_coding
ENSMUSG00000027698,-0.269767834,-0.275541832,-0.272654833,Nceh1,neutral cholesterol ester hydrolase 1 [Source:MGI Symbol;Acc:MGI:2443191],protein_coding
ENSMUSG00000027712,-0.365258617,-0.373090968,-0.369174792,Anxa5,annexin A5 [Source:MGI Symbol;Acc:MGI:106008],protein_coding
ENSMUSG00000027752,0.396234146,0.388486199,0.392360172,Exosc8,exosome component 8 [Source:MGI Symbol;Acc:MGI:1916889],protein_coding
ENSMUSG00000027784,-0.41890225,-0.422856982,-0.420879616,Ppm1l,protein phosphatase 1 (formerly 2C)-like [Source:MGI Symbol;Acc:MGI:2139740],protein_coding
ENSMUSG00000027858,-0.408351743,-0.412592246,-0.410471995,Tspan2,tetraspanin 2 [Source:MGI Symbol;Acc:MGI:1917997],protein_coding
ENSMUSG00000027865,-0.333828839,-0.33939074,-0.33660979,Gdap2,ganglioside-induced differentiation-associated-protein 2 [Source:MGI Symbol;Acc:MGI:1338001],protein_coding
ENSMUSG00000027955,-0.719754531,-0.725951983,-0.722853257,Gask1b,golgi associated kinase 1B [Source:MGI Symbol;Acc:MGI:1915909],protein_coding
ENSMUSG00000027956,-0.43144928,-0.437297751,-0.434373516,Tmem144,transmembrane protein 144 [Source:MGI Symbol;Acc:MGI:1917902],protein_coding
ENSMUSG00000027963,-0.276921211,-0.284201879,-0.280561545,Extl2,exostoses (multiple)-like 2 [Source:MGI Symbol;Acc:MGI:1889574],protein_coding
ENSMUSG00000028020,-0.309271556,-0.313476237,-0.311373896,Glrb,"glycine receptor, beta subunit [Source:MGI Symbol;Acc:MGI:95751]",protein_coding
ENSMUSG00000028104,0.37200027,0.36451908,0.368259675,Polr3gl,polymerase (RNA) III (DNA directed) polypeptide G like [Source:MGI Symbol;Acc:MGI:1917120],protein_coding
ENSMUSG00000028132,-0.362836706,-0.365698705,-0.364267706,Tmem56,transmembrane protein 56 [Source:MGI Symbol;Acc:MGI:1923195],protein_coding
ENSMUSG00000028137,0.283149966,0.274364623,0.278757295,Celf3,"CUGBP, Elav-like family member 3 [Source:MGI Symbol;Acc:MGI:1926034]",protein_coding
ENSMUSG00000028174,-0.965819179,-0.973055923,-0.969437551,Rpe65,retinal pigment epithelium 65 [Source:MGI Symbol;Acc:MGI:98001],protein_coding
ENSMUSG00000028195,-0.859990207,-0.862351869,-0.861171038,Ccn1,cellular communication network factor 1 [Source:MGI Symbol;Acc:MGI:88613],protein_coding
ENSMUSG00000028278,-0.396025051,-0.40234914,-0.399187096,Rragd,Ras-related GTP binding D [Source:MGI Symbol;Acc:MGI:1098604],protein_coding
ENSMUSG00000028341,-1.024345849,-1.026510825,-1.025428337,Nr4a3,"nuclear receptor subfamily 4, group A, member 3 [Source:MGI Symbol;Acc:MGI:1352457]",protein_coding
ENSMUSG00000028351,-0.285814151,-0.29125709,-0.288535621,Brinp1,bone morphogenic protein/retinoic acid inducible neural specific 1 [Source:MGI Symbol;Acc:MGI:1928478],protein_coding
ENSMUSG00000028360,0.749717331,0.742146045,0.745931688,Slc44a5,"solute carrier family 44, member 5 [Source:MGI Symbol;Acc:MGI:3035141]",protein_coding
ENSMUSG00000028412,-0.30124847,-0.306890599,-0.304069534,Slc44a1,"solute carrier family 44, member 1 [Source:MGI Symbol;Acc:MGI:2140592]",protein_coding
ENSMUSG00000028438,0.533163465,0.527675651,0.530419558,Kif24,kinesin family member 24 [Source:MGI Symbol;Acc:MGI:1918345],protein_coding
ENSMUSG00000028469,0.359330401,0.349890449,0.354610425,Npr2,natriuretic peptide receptor 2 [Source:MGI Symbol;Acc:MGI:97372],protein_coding
ENSMUSG00000028519,0.411897989,0.40516436,0.408531174,Dab1,disabled 1 [Source:MGI Symbol;Acc:MGI:108554],protein_coding
ENSMUSG00000028530,-0.271308916,-0.276097963,-0.273703439,Jak1,Janus kinase 1 [Source:MGI Symbol;Acc:MGI:96628],protein_coding
ENSMUSG00000028601,0.641386137,0.626883128,0.634134632,Echdc2,enoyl Coenzyme A hydratase domain containing 2 [Source:MGI Symbol;Acc:MGI:1289238],protein_coding
ENSMUSG00000028637,0.377175732,0.371256531,0.374216132,Ccdc30,coiled-coil domain containing 30 [Source:MGI Symbol;Acc:MGI:1920582],protein_coding
ENSMUSG00000028645,-0.554524265,-0.559744625,-0.557134445,Slc2a1,"solute carrier family 2 (facilitated glucose transporter), member 1 [Source:MGI Symbol;Acc:MGI:95755]",protein_coding
ENSMUSG00000028661,-0.386877446,-0.394909104,-0.390893275,Epha8,Eph receptor A8 [Source:MGI Symbol;Acc:MGI:109378],protein_coding
ENSMUSG00000028680,-0.513495405,-0.52114169,-0.517318547,Plk3,polo like kinase 3 [Source:MGI Symbol;Acc:MGI:109604],protein_coding
ENSMUSG00000028776,-0.77638974,-0.782731178,-0.779560459,Tinagl1,tubulointerstitial nephritis antigen-like 1 [Source:MGI Symbol;Acc:MGI:2137617],protein_coding
ENSMUSG00000028778,-0.85257993,-0.858582309,-0.855581119,Hcrtr1,hypocretin (orexin) receptor 1 [Source:MGI Symbol;Acc:MGI:2385650],protein_coding
